"","X","stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_timezone","census_tract_id","zip"
"4335",4335,605,"3rd Ave & Bell St",47.615036,-122.3452,21,"America/Los_Angeles",72,98121
"4336",4336,6050,"Aurora Ave N & N 38th St",47.65208,-122.347984,1,"America/Los_Angeles",49,98103
"4337",4337,60500,"1st Ave S & S 348th St",47.290367,-122.334526,24,"America/Los_Angeles",303.13,98003
"4338",4338,60505,"1st Way S & S 344th St",47.29332,-122.334641,24,"America/Los_Angeles",303.13,98003
"4339",4339,60510,"1st Way S & 1st Pl S",47.294865,-122.332428,24,"America/Los_Angeles",303.13,98003
"4340",4340,60515,"1st Way S & S 340th St",47.297142,-122.329445,24,"America/Los_Angeles",303.13,98003
"4341",4341,60520,"1st Way S & S 336th St",47.3004,-122.329102,24,"America/Los_Angeles",303.14,98003
"4342",4342,60526,"SW Campus Dr & 21st Ave SW",47.300617,-122.360085,24,"America/Los_Angeles",303.1,NA
"4343",4343,60527,"SW Campus Dr & 17th Ave SW",47.300606,-122.35453,24,"America/Los_Angeles",303.1,NA
"4344",4344,60528,"SW Campus Dr & 10th Ave SW",47.298409,-122.350685,24,"America/Los_Angeles",303.1,NA
